"kaupverd";"teg_eign";"svfn";"byggar";"efstah";"haednr";"fjibmhl";"fjmib";"lyfta";"birtm2";"fjhaed";"fjbkar";"fjsturt";"fjklos";"fjeld";"fjherb";"fjstof";"fjgeym";"matssvaedi";"undirmatssvaedi"
22705;"Íbúðareign";0;"1936";4;3;8;1;0;94.4;1;0;1;1;1;1;1;0;20;0
14100;"Íbúðareign";0;"1962";4;3;8;1;0;59.2;1;1;0;1;1;1;1;1;91;28
22200;"Íbúðareign";0;"1984";4;1;8;1;0;87.9;1;1;1;1;1;2;1;0;85;0
47744;"Íbúðareign";0;"2010";9;3;56;1;2;149.3;1;0;2;2;1;1;1;0;90;46
75000;"Einbýlishús";1100;"1971";1;1;1;1;0;281.5;2;0;2;3;1;6;2;0;400;0
30500;"Íbúðareign";0;"1985";3;1;5;1;0;160;2;1;1;1;1;4;1;1;220;0
25300;"Íbúðareign";0;"1994";3;3;10;1;0;103.2;1;1;0;1;1;3;1;1;130;0
16900;"Íbúðareign";2000;"1976";2;1;2;1;0;101.7;1;0;1;1;1;2;1;0;2040;0
30500;"Íbúðareign";1400;"2007";6;3;40;1;3;118.3;1;1;1;1;1;2;1;0;680;105
34010;"Raðhús";1400;"2004";2;1;1;1;0;194.4;2;1;1;2;1;3;2;1;630;0
34400;"Raðhús";1400;"1992";2;1;1;1;0;208.8;2;1;1;2;1;5;2;1;620;0
57500;"Einbýlishús";1400;"1990";1;1;1;1;0;226.5;1;1;1;2;1;4;3;0;650;0
23500;"Íbúðareign";1000;"1994";3;3;9;1;0;89.5;1;1;0;1;1;3;1;0;330;0
25800;"Íbúðareign";1000;"1971";2;2;4;1;0;113;1;1;0;1;1;3;1;0;320;0
20300;"Íbúðareign";0;"1994";3;2;7;1;0;83.8;1;1;0;1;1;3;1;1;130;0
52000;"Raðhús";1100;"1980";3;1;1;1;0;213.9;3;1;1;2;1;3;2;0;400;0
15000;"Íbúðareign";1400;"1992";2;2;3;1;0;78.2;1;0;1;1;1;1;1;0;620;0
16357;"Íbúðareign";0;"1987";3;3;8;1;0;77.3;1;0;1;1;1;1;1;1;120;0
18200;"Íbúðareign";0;"1935";4;2;9;1;0;72;1;1;0;1;1;1;2;1;20;25
14000;"Íbúðareign";0;"1986";7;2;33;1;1;42.9;1;0;1;1;1;1;1;1;90;0
18000;"Íbúðareign";0;"1967";3;2;10;1;0;102.3;1;1;0;1;1;3;1;1;200;0
18900;"Íbúðareign";0;"1945";4;1;9;1;0;68;1;1;0;1;1;1;2;1;90;20
22000;"Íbúðareign";0;"1973";2;2;4;1;0;97.8;1;1;0;1;1;2;1;1;11;0
18500;"Íbúðareign";0;"1974";7;6;40;1;1;129.9;2;1;0;2;1;4;2;0;161;0
19400;"Íbúðareign";1604;"1978";1;1;5;1;1;95.9;1;1;0;1;1;2;1;0;800;0
19000;"Íbúðareign";0;"1959";2;0;2;1;0;79.1;2;1;0;1;1;2;1;0;281;0
19000;"Íbúðareign";0;"1996";4;2;11;1;0;86.5;1;0;1;1;1;2;1;1;130;0
22700;"Íbúðareign";0;"1937";2;2;3;1;0;78;1;1;0;1;1;1;2;0;90;0
24370;"Einbýlishús";2000;"1959";1;1;1;1;0;148.6;1;0;1;1;1;3;1;0;2040;0
57000;"Raðhús";1300;"2007";2;1;1;1;0;248.9;2;1;2;2;1;5;1;1;511;0
6500;"Íbúðareign";1400;"1969";2;0;7;1;0;23.3;1;0;1;1;1;0;1;0;600;0
27500;"Íbúðareign";1400;"2008";4;3;20;1;2;111.2;1;0;1;1;1;2;1;0;600;18
34500;"Parhús";1400;"1989";2;1;1;1;0;170.6;2;1;0;2;1;3;1;1;650;0
42900;"Íbúðareign";1400;"2008";5;4;35;1;3;132;1;1;1;1;1;3;1;0;600;18
23000;"Íbúðareign";1300;"2006";6;2;133;1;5;92.8;1;0;1;1;1;1;1;1;510;0
28000;"Íbúðareign";1000;"2003";9;5;38;1;2;112.7;1;1;0;1;1;3;1;0;340;0
25500;"Íbúðareign";1000;"2007";4;4;21;1;1;103.7;1;1;0;1;1;2;1;0;351;0
30800;"Íbúðareign";1000;"1968";2;2;3;1;0;153.2;2;1;0;2;1;4;1;1;320;0
32000;"Einbýlishús";1000;"1947";2;1;1;1;0;214.2;2;0;1;1;1;5;1;0;300;0
18200;"Íbúðareign";0;"1979";8;6;54;1;1;93.2;1;1;0;1;1;1;1;0;160;0
50000;"Raðhús";0;"1972";2;1;1;1;0;204.9;2;1;1;2;1;3;2;1;280;0
17500;"Íbúðareign";1400;"1985";4;2;8;1;0;103.9;1;0;1;1;1;3;1;1;600;0
